ふぁみれす	ファミ↑レス↓だと！ふざけんじゃねえよお前！ガストだろぉ！？	名詞	
すてらごろく	ファミ↑レス↓だと！ふざけんじゃねえよお前！ガストだろぉ！？	名詞	
PC	PCがヴィーーーーwwwwwwヴーヴウヴウヴウヴーwwwwwwwwwって言ってると思ったらマイクラ開きっぱなしだった	名詞	
すてらごろく	PCがヴィーーーーwwwwwwヴーヴウヴウヴウヴーwwwwwwwwwって言ってると思ったらマイクラ開きっぱなしだった	名詞	
ほんだい	本題：いつの間にかフォロワーが○○人超えてました	名詞	
すてらごろく	本題：いつの間にかフォロワーが○○人超えてました	名詞	
おふとぅん	うおぉ…オフトゥン最高……	名詞	
すてらごろく	うおぉ…オフトゥン最高……	名詞	
おはよぉ!	おはよォ！(半ギレ) 寝てねぇよクソが	名詞	
すてらごろく	おはよォ！(半ギレ) 寝てねぇよクソが	名詞	
すまほのちょうし	スマホの調子悪すぎてきたさいたまで不可15出したから禿げそう	名詞	
すてらごろく	スマホの調子悪すぎてきたさいたまで不可15出したから禿げそう	名詞	
しぐれ	しいいいいいいいいいいいいいいいいいいいいいいいいいぐうううううううううううううううううううううううううれえええええええええええええええええええええええええ	名詞	
すてらごろく	しいいいいいいいいいいいいいいいいいいいいいいいいいぐうううううううううううううううううううううううううれえええええええええええええええええええええええええ	名詞	
そんなぁ	そんなぁ……ぐすっ…ひっぐ…ぅ……	名詞	
すてらごろく	そんなぁ……ぐすっ…ひっぐ…ぅ……	名詞	
すてら	ͯ珠照 ͯ（30ml H2O）	名詞	
すてら	珠照	名詞	
すてらごろく	#珠照語録	名詞	
れもん	レモン食ったらなんか心臓がバクバクしてきたんですが()	名詞	
すてらごろく	レモン食ったらなんか心臓がバクバクしてきたんですが()	名詞	
だんだかだん	₍₍ (ง ˘ω˘ )ว ⁾⁾ﾀﾞﾝﾀﾞｶﾀﾞﾝﾀﾞﾝﾀﾞｶﾀﾞﾝﾀﾞｶﾗﾘﾙﾚﾗﾝ♪	名詞	
すてらごろく	₍₍ (ง ˘ω˘ )ว ⁾⁾ﾀﾞﾝﾀﾞｶﾀﾞﾝﾀﾞﾝﾀﾞｶﾀﾞﾝﾀﾞｶﾗﾘﾙﾚﾗﾝ♪	名詞	
ぼくがはつげん	僕が発言する度に珠照語録が誕生する()	名詞	
すてらごろく	僕が発言する度に珠照語録が誕生する()	名詞	
なにしてくれとんじゃー	何してくれとんじゃあああああ。゜( ;⊃՞ةڼ⊂; )゜。びぇぇえええんｗｗｗｗ正直嬉しいけど	名詞	
すてらごろく	何してくれとんじゃあああああ。゜( ;⊃՞ةڼ⊂; )゜。びぇぇえええんｗｗｗｗ正直嬉しいけど	名詞	
たいようはほも	太陽はホモはっきりわかんだね	名詞	
すてらごろく	太陽はホモはっきりわかんだね	名詞	
すてらすてら	(　ﾟ∀ﾟ)o彡゜すてら！(　ﾟ∀ﾟ)o彡゜すてら！	名詞	
みんながたのしんで	皆が楽しんでくれてるなら僕はそれでいいんだで…(⌒,_ゝ⌒)	名詞	
すてらごろく	皆が楽しんでくれてるなら僕はそれでいいんだで…(⌒,_ゝ⌒)	名詞	
すごくりゃいふ	すごく……りゃいふです……	名詞	
すてらごろく	すごく……りゃいふです……	名詞	
てんちょうおかして	店長犯して♡	名詞	
すてらごろく	店長犯して♡	名詞	
しかたないなぁ	仕↓方→な↑い→な↑ぁ↓…	名詞	
すてらごろく	仕↓方→な↑い→な↑ぁ↓…	名詞	
ちかずいたらもうもく	近づいたら盲目になって殆ど見えなくなるとかひで	名詞	
すてらごろく	近づいたら盲目になって殆ど見えなくなるとかひで	名詞	
しょうがくせいのころ	小学生の頃はunknownを「うんこのうん」って(ry	名詞	
すてらごろく	小学生の頃はunknownを「うんこのうん」って(ry	名詞	
げじげじ	ゲジ・ゲ＝ジさんはトラウマだからやめてさしあげろ	名詞	
すてらごろく	ゲジ・ゲ＝ジさんはトラウマだからやめてさしあげろ	名詞	
ごきぶりはあれだ	ゴキブリはあれだ、色が綺麗で形が可愛けりゃ神だった	名詞	
すてらごろく	ゴキブリはあれだ、色が綺麗で形が可愛けりゃ神だった	名詞	
きたないたいよう	きたない太陽^〜 \ナーナーナーナナナーナナー/	名詞	
すてらごろく	きたない太陽^〜 \ナーナーナーナナナーナナー/	名詞	
むしはほも	虫はホモってそれ一番言われてるから(半ギレ)	名詞	
すてらごろく	虫はホモってそれ一番言われてるから(半ギレ)	名詞	
もうむしおおすぎて	もう虫多すぎて蟻(の巣)栄えるわ	名詞	
すてらごろく	もう虫多すぎて蟻(の巣)栄えるわ	名詞	
ちんちん	ㄘんㄘんがはんぺんになったから ○○○をㄙㄣ̔ㄙㄣ̔の刑に処す	名詞	
すてらごろく	ㄘんㄘんがはんぺんになったから ○○○をㄙㄣ̔ㄙㄣ̔の刑に処す	名詞	
おおがたもっど	大型mod(笑)はつらいよ(て〜〜てれれれれれれれ〜〜て〜れれ〜れれ〜てれれれ〜〜)	名詞	
すてらごろく	大型mod(笑)はつらいよ(て〜〜てれれれれれれれ〜〜て〜れれ〜れれ〜てれれれ〜〜)	名詞	
れもんいっこ	m9( ՞ਊ ՞ )そこの君！レモン一個に含まれるビタミンはレモン一個分だぜ	名詞	
すてらごろく	m9( ՞ਊ ՞ )そこの君！レモン一個に含まれるビタミンはレモン一個分だぜ	名詞	
ああああああ	☜( ՞ਊ ՞ )ああああああああああああああああああああああああｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ	名詞	
すてらごろく	☜( ՞ਊ ՞ )ああああああああああああああああああああああああｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ	名詞	
かえってきてさっそく	帰ってきて早速脱糞したけどくっさ( •́ฅ•̀ )	名詞	
すてらごろく	帰ってきて早速脱糞したけどくっさ( •́ฅ•̀ )	名詞	
ぼくがなおった	僕が治ったって言ったら治ってます(池沼)	名詞	
すてらごろく	僕が治ったって言ったら治ってます(池沼)	名詞	
とりあえず	とりあえず頭にうんｋ置いときますね✋	名詞	
すてらごろく	とりあえず頭にうんｋ置いときますね✋	名詞	
なんかやるき	なんかやる気無さ過ぎてドラゲ無い気持ちになった	名詞	
すてらごろく	なんかやる気無さ過ぎてドラゲ無い気持ちになった	名詞	
このちきゅうの	この地球の11.4514%はダイオウグソクムシのうんｋ(ry	名詞	
すてらごろく	この地球の11.4514%はダイオウグソクムシのうんｋ(ry	名詞	
せきがとまらない	咳が止まらないんだけど助けゴボボボボババババババババ	名詞	
すてらごろく	咳が止まらないんだけど助けゴボボボボババババババババ	名詞	
すてらごろく	ファーーーwwwwマジうけるwwwwwwｳｪｯﾊﾊﾊﾊﾊｯﾊ↑↑wwwwwwwwwwﾌｧｰｰｰｰｰｰwwwwww(さんまの咆哮)	名詞	
ふぁーー	ファーーーwwwwマジうけるwwwwwwｳｪｯﾊﾊﾊﾊﾊｯﾊ↑↑wwwwwwwwwwﾌｧｰｰｰｰｰｰwwwwww(さんまの咆哮)	名詞	
すてらごろく	あぁ^〜もうおしっこ出ちゃいそう！(半ギレ)	名詞	
あぁーもう	あぁ^〜もうおしっこ出ちゃいそう！(半ギレ)	名詞	
すてらごろく	超特大うんｋ出ましたはいあぁ^〜すっきりしたんじゃ^〜	名詞	
ちょうとくだいうんk	超特大うんｋ出ましたはいあぁ^〜すっきりしたんじゃ^〜	名詞	
すてらごろく	=͟͟͞͞( ∩ 'ヮ'=͟͟͞͞) ੭ु⁾⁾	名詞	
すてらごろく	#はじめての☜( ՞ਊ ՞ )ああああああああああああああああああああああああｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ	名詞	
はじめての	#はじめての☜( ՞ਊ ՞ )ああああああああああああああああああああああああｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ	名詞	
すてらごろく	膝にクソネミノ矢を受けてしまってな…しばらく休ませてもrzzZ	名詞	
くそねみ	膝にクソネミノ矢を受けてしまってな…しばらく休ませてもrzzZ	名詞	
すてらごろく	はあああああああああああああああああるうううううううううううううううううさあああああああああああああああああめえええええええええええええええええ	名詞	
はるさめ	はあああああああああああああああああるうううううううううううううううううさあああああああああああああああああめえええええええええええええええええ	名詞	
すてらいがいすてらじゃない	(っ 'ヮ' c)ステラ以外ステラじゃないの〜、当たり前だけどね、だぁかぁら՞ਊ ՞☆マイステラカード☆	名詞	
すてらごろく	(っ 'ヮ' c)ステラ以外ステラじゃないの〜、当たり前だけどね、だぁかぁら՞ਊ ՞☆マイステラカード☆	名詞	
すてらのへやからしつれい	ステラの部屋から失礼するゾ～（謝罪）	名詞	
すてらごろく	ステラの部屋から失礼するゾ～（謝罪）	名詞	
すてらごろく	珠照語録	名詞	
すてらごろく	あああああああああああああああああああああああああああああああ！！！！！！！！！！！(絶命)	名詞	
ああああああ	あああああああああああああああああああああああああああああああ！！！！！！！！！！！(絶命)	名詞	
すてらごろく	も→す→こ→し→だ↑よ↓締↑め→切↓り↓	名詞	
もうすこしだよしめきり	も→す→こ→し→だ↑よ↓締↑め→切↓り↓	名詞	
すてらごろく	待てよ？今避難している一階トイレ(蟻の巣は二階トイレ)…トイレ………紙魚いいいいいいいいいいいいいいいいいああああああああああああああああああああああああああああああああああああああああああああああああ	名詞	
いまひなんしている	待てよ？今避難している一階トイレ(蟻の巣は二階トイレ)…トイレ………紙魚いいいいいいいいいいいいいいいいいああああああああああああああああああああああああああああああああああああああああああああああああ	名詞	
すてらごろく	虫なんて…っこの世から一匹残らず駆逐してやr🐛🐛🐛えいうえあああああああああああああああああああああ！！！！！！！	名詞	
むしなんて	虫なんて…っこの世から一匹残らず駆逐してやr🐛🐛🐛えいうえあああああああああああああああああああああ！！！！！！！	名詞	
すてらごろく	脳食い虫…人食いバクテリア………おんどりゃあってえええええええええええええい！！！	名詞	
のうくいむし	脳食い虫…人食いバクテリア………おんどりゃあってえええええええええええええい！！！	名詞	
すてらごろく	顔面蟻まみれ()蟻の巣不可避()蟻生える()	名詞	
